성명,관계,주식의종류,소유주식수 및 지분율_기 초_주식수,소유주식수 및 지분율_기 초_지분율,소유주식수 및 지분율_기 말_주식수,소유주식수 및 지분율_기 말_지분율,비고_비고_비고,주식수_판단
㈜대림,최대주주,보통주,8860723,42.28,8860723,42.28,-,8860723
(학)대림학원,특수관계인,보통주,194976,0.93,194976,0.93,-,194976
이해창,특수관계인,보통주,5505,0.03,5505,0.03,-,5505
이진숙,특수관계인,보통주,12868,0.06,12868,0.06,-,12868
이윤영,특수관계인,보통주,9639,0.05,9639,0.05,-,9639
이부용,특수관계인,보통주,21,0.0,21,0.0,-,21
(학)대림학원,특수관계인,우선주,91048,5.4,91048,5.4,-,91048
㈜대림,최대주주,우선주,11092,0.66,11092,0.66,-,11092
이해창,특수관계인,우선주,443,0.03,443,0.03,-,443
이진숙,특수관계인,우선주,443,0.03,443,0.03,-,443
이윤영,특수관계인,우선주,443,0.03,443,0.03,-,443
계,계,보통주,9083732,43.35,9083732,43.35,-,9083732
계,계,우선주,103469,6.15,103469,6.15,-,103469
